,kappa,theta_a,theta_b,sigma,error_kappa,error_theta_a,error_theta_b,error_sigma
332,0.1,0.1,0.02,0.5,44.59799,99.98543,21733.94347,0.47900
333,0.1,0.1,0.05,0.5,63.06728,99.98211,7545.43544,0.34363
334,0.1,0.1,0.1,0.5,43.83881,99.98809,3911.77260,0.04314
335,0.1,0.1,0.5,0.5,41.53894,99.98881,865.46000,1.02461
336,0.1,1e-06,0.005,2.0,165.44440,100.00000,100.00000,0.62687
337,0.1,1e-06,0.01,2.0,0.20677,100.00000,100.00000,0.08991
338,0.1,1e-06,0.02,2.0,22.93524,100.00000,100.00000,0.38259
339,0.1,1e-06,0.05,2.0,2.78900,100.00000,100.00000,1.78550
340,0.1,1e-06,0.1,2.0,5.98677,100.00000,3.23785,0.29677
341,0.1,1e-06,0.5,2.0,33.10361,99.99763,100.00000,0.65415
342,0.1,1e-05,0.005,2.0,20.20316,100.00000,100.00000,0.36700
343,0.1,1e-05,0.01,2.0,106.83989,25.47559,100.00000,0.58656
344,0.1,1e-05,0.02,2.0,48.34860,64.44176,100.00000,0.42152
345,0.1,1e-05,0.05,2.0,64.96843,68.00032,100.00000,0.09355
346,0.1,1e-05,0.1,2.0,34.22975,100.00000,100.00000,0.35573
347,0.1,1e-05,0.5,2.0,26.70600,99.99999,64.51292,1.84715
348,0.1,5e-05,0.005,2.0,36.31490,100.00000,100.00000,0.42781
349,0.1,5e-05,0.01,2.0,51.80713,100.00000,100.00000,0.82440
350,0.1,5e-05,0.02,2.0,0.42098,100.00000,100.00000,1.25350
